
X^0,X^1,X^2,X^3,X^4,X^5,X^6,X^7,X^8,X^9,X^10
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,2,4,8,16,32,64,128,256,512,1024
1,3,9,27,81,243,729,2187,6561,19683,59049
1,4,16,64,256,1024,4096,16384,65536,262144,1048576
1,5,25,125,625,3125,15625,78125,390625,1953125,9765625
1,6,36,216,1296,7776,46656,279936,1679616,10077696,60466176
1,7,49,343,2401,16807,117649,823543,5764801,40353607,282475249
1,8,64,512,4096,32768,262144,2097152,16777216,134217728,1073741824
1,9,81,729,6561,59049,531441,4782969,43046721,387420489,3486784401
1,10,100,1000,10000,100000,1000000,10000000,100000000,1000000000,10000000000
1,11,121,1331,14641,161051,1771561,19487171,214358881,2357947691,25937424601
1,12,144,1728,20736,248832,2985984,35831808,429981696,5159780352,61917364224
1,13,169,2197,28561,371293,4826809,62748517,815730721,10604499373,137858491849
1,14,196,2744,38416,537824,7529536,105413504,1475789056,20661046784,289254654976
1,15,225,3375,50625,759375,11390625,170859375,2562890625,38443359375,576650390625
1,16,256,4096,65536,1048576,16777216,268435456,4294967296,68719476736,1099511627776
1,17,289,4913,83521,1419857,24137569,410338673,6975757441,118587876497,2015993900449
1,18,324,5832,104976,1889568,34012224,612220032,11019960576,198359290368,3570467226624
1,19,361,6859,130321,2476099,47045881,893871739,16983563041,322687697779,6131066257801
1,20,400,8000,160000,3200000,64000000,1280000000,25600000000,512000000000,10240000000000
1,21,441,9261,194481,4084101,85766121,1801088541,37822859361,794280046581,16679880978201
1,22,484,10648,234256,5153632,113379904,2494357888,54875873536,1207269217792,26559922791424
1,23,529,12167,279841,6436343,148035889,3404825447,78310985281,1801152661463,41426511213649
1,24,576,13824,331776,7962624,191102976,4586471424,110075314176,2641807540224,63403380965376
1,25,625,15625,390625,9765625,244140625,6103515625,152587890625,3814697265625,95367431640625
1,26,676,17576,456976,11881376,308915776,8031810176,208827064576,5429503678976,141167095653376
1,27,729,19683,531441,14348907,387420489,10460353203,282429536481,7625597484987,205891132094649
1,28,784,21952,614656,17210368,481890304,13492928512,377801998336,10578455953408,296196766695424
1,29,841,24389,707281,20511149,594823321,17249876309,500246412961,14507145975869,420707233300201
1,30,900,27000,810000,24300000,729000000,21870000000,656100000000,19683000000000,590490000000000
1,31,961,29791,923521,28629151,887503681,27512614111,852891037441,26439622160671,819628286980801
1,32,1024,32768,1048576,33554432,1073741824,34359738368,1099511627776,35184372088832,1125899906842624
1,33,1089,35937,1185921,39135393,1291467969,42618442977,1406408618241,46411484401953,1531578985264449
1,34,1156,39304,1336336,45435424,1544804416,52523350144,1785793904896,60716992766464,2064377754059776
1,35,1225,42875,1500625,52521875,1838265625,64339296875,2251875390625,78815638671875,2758547353515625
1,36,1296,46656,1679616,60466176,2176782336,78364164096,2821109907456,101559956668416,3656158440062976
1,37,1369,50653,1874161,69343957,2565726409,94931877133,3512479453921,129961739795077,4808584372417849
1,38,1444,54872,2085136,79235168,3010936384,114415582592,4347792138496,165216101262848,6278211847988224
1,39,1521,59319,2313441,90224199,3518743761,137231006679,5352009260481,208728361158759,8140406085191601
1,40,1600,64000,2560000,102400000,4096000000,163840000000,6553600000000,262144000000000,10485760000000000
1,41,1681,68921,2825761,115856201,4750104241,194754273881,7984925229121,327381934393961,13422659310152400
1,42,1764,74088,3111696,130691232,5489031744,230539333248,9682651996416,406671383849472,17080198121677824
1,43,1849,79507,3418801,147008443,6321363049,271818611107,11688200277601,502592611936843,21611482313284248
1,44,1936,85184,3748096,164916224,7256313856,319277809664,14048223625216,618121839509504,27197360938418176
1,45,2025,91125,4100625,184528125,8303765625,373669453125,16815125390625,756680642578125,34050628916015624
1,46,2116,97336,4477456,205962976,9474296896,435817657216,20047612231936,922190162669056,42420747482776576
1,47,2209,103823,4879681,229345007,10779215329,506623120463,23811286661761,1119130473102767,52599132235830048
1,48,2304,110592,5308416,254803968,12230590464,587068342272,28179280429056,1352605460594688,64925062108545024
1,49,2401,117649,5764801,282475249,13841287201,678223072849,33232930569601,1628413597910449,79792266297612000
1,50,2500,125000,6250000,312500000,15625000000,781250000000,39062500000000,1953125000000000,97656250000000000
1,51,2601,132651,6765201,345025251,17596287801,897410677851,45767944570401,2334165173090451,119042423827613008
1,52,2704,140608,7311616,380204032,19770609664,1028071702528,53459728531456,2779905883635712,144555105949057024
1,53,2809,148877,7890481,418195493,22164361129,1174711139837,62259690411361,3299763591802133,174887470365513056
1,54,2916,157464,8503056,459165024,24794911296,1338925209984,72301961339136,3904305912313344,210832519264920576
1,55,3025,166375,9150625,503284375,27680640625,1522435234375,83733937890625,4605366583984375,253295162119140640
1,56,3136,175616,9834496,550731776,30840979456,1727094849536,96717311574016,5416169448144896,303305489096114176
1,57,3249,185193,10556001,601692057,34296447249,1954897493193,111429157112001,6351461955384057,362033331456891264
1,58,3364,195112,11316496,656356768,38068692544,2207984167552,128063081718016,7427658739644928,430804206899405824
1,59,3481,205379,12117361,714924299,42180533641,2488651484819,146830437604321,8662995818654939,511116753300641408
1,60,3600,216000,12960000,777600000,46656000000,2799360000000,167961600000000,10077696000000000,604661760000000000
1,61,3721,226981,13845841,844596301,51520374361,3142742836021,191707312997281,11694146092834140,713342911662882560
1,62,3844,238328,14776336,916132832,56800235584,3521614606208,218340105584896,13537086546263552,839299365868340224
1,63,3969,250047,15752961,992436543,62523502209,3938980639167,248155780267521,15633814156853824,984930291881790848
1,64,4096,262144,16777216,1073741824,68719476736,4398046511104,281474976710656,18014398509481984,1152921504606846976
1,65,4225,274625,17850625,1160290625,75418890625,4902227890625,318644812890625,20711912837890624,1346274334462890752
1,66,4356,287496,18974736,1252332576,82653950016,5455160701056,360040606269696,23762680013799936,1568336880910795776
1,67,4489,300763,20151121,1350125107,90458382169,6060711605323,406067677556641,27206534396294948,1822837804551761408
1,68,4624,314432,21381376,1453933568,98867482624,6722988818432,457163239653376,31087100296429568,2113922820157210624
1,69,4761,328509,22667121,1564031349,107918163081,7446353252589,513798374428641,35452087835576228,2446194060654759936
1,70,4900,343000,24010000,1680700000,117649000000,8235430000000,576480100000000,40353607000000000,2824752490000000000
1,71,5041,357911,25411681,1804229351,128100283921,9095120158391,645753531245761,45848500718449032,3255243551009881088
1,72,5184,373248,26873856,1934917632,139314069504,10030613004288,722204136308736,51998697814228992,3743906242624487424
1,73,5329,389017,28398241,2073071593,151334226289,11047398519097,806460091894081,58871586708267912,4297625829703557632
1,74,5476,405224,29986576,2219006624,164206490176,12151280273024,899194740203776,66540410775079424,4923990397355877376
1,75,5625,421875,31640625,2373046875,177978515625,13348388671875,1001129150390625,75084686279296880,5631351470947265536
1,76,5776,438976,33362176,2535525376,192699928576,14645194571776,1113034787454976,84590643846578176,6428888932339941376
1,77,5929,456533,35153041,2706784157,208422380089,16048523266853,1235736291547681,95151694449171440,7326680472586201088
1,78,6084,474552,37015056,2887174368,225199600704,17565568854912,1370114370683136,106868920913284608,8335775831236199424
1,79,6241,493039,38950081,3077056399,243087455521,19203908986159,1517108809906561,119851595982618320,9468276082626846720
1,80,6400,512000,40960000,3276800000,262144000000,20971520000000,1677721600000000,134217728000000000,10737418240000000000
1,81,6561,531441,43046721,3486784401,282429536481,22876792454961,1853020188851841,150094635296999136,12157665459056928768
1,82,6724,551368,45212176,3707398432,304006671424,24928547056768,2044140858654976,167619550409708032,13744803133596057600
1,83,6889,571787,47458321,3939040643,326940373369,27136050989627,2252292232139041,186940255267540416,15516041187205853184
1,84,7056,592704,49787136,4182119424,351298031616,29509034655744,2478758911082496,208215748530929664,17490122876598091776
1,85,7225,614125,52200625,4437053125,377149515625,32057708828125,2724905250390625,231616946283203136,19687440434072264704
1,86,7396,636056,54700816,4704270176,404567235136,34792782221696,2992179271065856,257327417311663616,22130157888803069952
1,87,7569,658503,57289761,4984209207,433626201009,37725479487783,3282116715437121,285544154243029536,24842341419143569408
1,88,7744,681472,59969536,5277319168,464404086784,40867559636992,3596345248055296,316478381828866048,27850097600940212224
1,89,7921,704969,62742241,5584059449,496981290961,44231334895529,3936588805702081,350356403707485184,31181719929966182400
1,90,8100,729000,65610000,5904900000,531441000000,47829690000000,4304672100000000,387420489000000000,34867844009999998976
1,91,8281,753571,68574961,6240321451,567869252041,51676101935731,4702525276151521,427929800129788416,38941611811810746368
1,92,8464,778688,71639296,6590815232,606355001344,55784660123648,5132188731375616,472161363286556672,43438845422363213824
1,93,8649,804357,74805201,6956883693,646990183449,60170087060757,5595818096650401,520411082988487296,48398230717929316352
1,94,8836,830584,78074896,7339040224,689869781056,64847759419264,6095689385410816,572994802228616704,53861511409489969152
